list1,list2,list3
  7.4375000e+003, -3.5977623e+001,
  7.4687500e+003, -2.5212273e+001,
  7.5000000e+003, -2.1872726e+001,
  7.5312500e+003, -2.5218155e+001,
  7.5625000e+003, -3.5995262e+001,
  7.5937500e+003, -5.7643555e+001,
  7.6250000e+003, -9.8982263e+001,
  7.6562500e+003, -1.0003469e+002,
  7.6875000e+003, -9.9205684e+001,
  7.7187500e+003, -9.7336005e+001,
  7.7500000e+003, -9.7000874e+001,
  7.7812500e+003, -9.6213022e+001,
  7.8125000e+003, -9.9781874e+001,
  7.8437500e+003, -1.0319786e+002,
  7.8750000e+003, -9.9393827e+001,
  7.9062500e+003, -9.7265451e+001,
  7.9375000e+003, -9.6742177e+001,
  7.9687500e+003, -1.0032867e+002,
  8.0000000e+003, -1.0009349e+002,
  8.0312500e+003, -1.0131642e+002,
  8.0625000e+003, -9.7947472e+001,
  8.0937500e+003, -9.8364916e+001,
  8.1250000e+003, -1.0192789e+002,
  8.1562500e+003, -1.0439140e+002,
  8.1875000e+003, -1.0439140e+002,
  8.2187500e+003, -1.0260991e+002,
  8.2500000e+003, -1.0072847e+002,
  8.2812500e+003, -1.0439140e+002,
  8.3125000e+003, -1.0380933e+002,
  8.3437500e+003, -1.0245704e+002,
  8.3750000e+003, -1.0299796e+002,
  8.4062500e+003, -1.0186909e+002,
  8.4375000e+003, -1.0299796e+002,
  8.4687500e+003, -1.0439140e+002,
  8.5000000e+003, -1.0439140e+002,
  8.5312500e+003, -1.0130466e+002,
  8.5625000e+003, -9.8317880e+001,
  8.5937500e+003, -9.8982263e+001,
  8.6250000e+003, -1.0439140e+002,
  8.6562500e+003, -1.0121059e+002,
  8.6875000e+003, -9.9617248e+001,
  8.7187500e+003, -1.0130466e+002,
  8.7500000e+003, -1.0439140e+002,
  8.7812500e+003, -1.0439140e+002,
  8.8125000e+003, -1.0138110e+002,
  8.8437500e+003, -9.8799999e+001,
  8.8750000e+003, -1.0439140e+002,
  8.9062500e+003, -9.5919047e+001,
  8.9375000e+003, -8.9557437e+001,
  8.9687500e+003, -8.6147331e+001,
  9.0000000e+003, -8.5512346e+001,
  9.0312500e+003, -9.1474152e+001,
  9.0625000e+003, -1.0001705e+002,
  9.0937500e+003, -1.0439140e+002,
  9.1250000e+003, -1.0424441e+002,
  9.1562500e+003, -1.0245704e+002,
  9.1875000e+003, -9.9681922e+001,
  9.2187500e+003, -1.0027575e+002,
  9.2500000e+003, -9.6665743e+001,
  9.2812500e+003, -9.7336005e+001,
  9.3125000e+003, -1.0439140e+002,
  9.3437500e+003, -1.0439140e+002,
  9.3750000e+003, -1.0439140e+002,
  9.4062500e+003, -1.0219247e+002,
  9.4375000e+003, -9.9658404e+001,
  9.4687500e+003, -9.8782360e+001,
  9.5000000e+003, -9.8317880e+001,
  9.5312500e+003, -9.5725024e+001,
  9.5625000e+003, -9.5295821e+001,
  9.5937500e+003, -9.7265451e+001,
  9.6250000e+003, -1.0439140e+002,
  9.6562500e+003, -1.0439140e+002,
  9.6875000e+003, -9.8917589e+001,
  9.7187500e+003, -9.6277697e+001,
  9.7500000e+003, -1.0164567e+002,
  9.7812500e+003, -1.0439140e+002,
  9.8125000e+003, -9.9446743e+001,
  9.8437500e+003, -1.0219247e+002,
  9.8750000e+003, -1.0072847e+002,
  9.9062500e+003, -1.0439140e+002,
  9.9375000e+003, -1.0159276e+002,
  9.9687500e+003, -9.8564819e+001,
  1.0000000e+004, -1.0032867e+002,
  1.0031250e+004, -1.0009349e+002,
  1.0062500e+004, -1.0342716e+002,
  1.0093750e+004, -1.0439140e+002,
  1.0125000e+004, -1.0386812e+002,
  1.0156250e+004, -1.0034630e+002,
  1.0187500e+004, -9.8306121e+001,
  1.0218750e+004, -1.0111652e+002,
  1.0250000e+004, -1.0439140e+002,
  1.0281250e+004, -1.0253936e+002,
  1.0312500e+004, -1.0439140e+002,
  1.0343750e+004, -1.0439140e+002,
  1.0375000e+004, -1.0439140e+002,
  1.0406250e+004, -6.3546566e+001,
  1.0437500e+004, -4.1821842e+001,
  1.0468750e+004, -3.1056488e+001,
  1.0500000e+004, -2.7711060e+001,
  1.0531250e+004, -3.1062370e+001,
  1.0562500e+004, -4.1833599e+001,
  1.0593750e+004, -6.3417217e+001,
  1.0625000e+004, -9.9070455e+001,
  1.0656250e+004, -1.0439140e+002,
  1.0687500e+004, -1.0439140e+002,
  1.0718750e+004, -1.0352123e+002,
  1.0750000e+004, -1.0111652e+002,
  1.0781250e+004, -9.8317880e+001,
  1.0812500e+004, -1.0234533e+002,
  1.0843750e+004, -1.0439140e+002,
  1.0875000e+004, -1.0316258e+002,
  1.0906250e+004, -1.0439140e+002,
  1.0937500e+004, -1.0439140e+002,
  1.0968750e+004, -1.0234533e+002,
  1.1000000e+004, -1.0319786e+002,
  1.1031250e+004, -1.0346832e+002,
  1.1062500e+004, -1.0386812e+002,
  1.1093750e+004, -1.0270986e+002,
  1.1125000e+004, -1.0335660e+002,
  1.1156250e+004, -1.0439140e+002,
  1.1187500e+004, -1.0439140e+002,
  1.1218750e+004, -1.0049329e+002,
  1.1250000e+004, -9.5554519e+001,
  1.1281250e+004, -1.0109300e+002,
  1.1312500e+004, -1.0439140e+002,
  1.1343750e+004, -1.0439140e+002,
  1.1375000e+004, -1.0181030e+002,
  1.1406250e+004, -9.7265451e+001,
  1.1437500e+004, -9.8082701e+001,
  1.1468750e+004, -1.0017580e+002,
  1.1500000e+004, -1.0439140e+002,
  1.1531250e+004, -1.0241001e+002,
  1.1562500e+004, -1.0202196e+002,
  1.1593750e+004, -1.0335660e+002,
  1.1625000e+004, -1.0439140e+002,
  1.1656250e+004, -1.0009349e+002,
